system:index,FIPS formula,Geographic Name,count,mean,year,.geo
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_825,19069,"Franklin County, Iowa",706961,1594.844161,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_832,19083,"Hardin County, Iowa",640160,1612.80936,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_830,19079,"Hamilton County, Iowa",781311,1595.002937,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_889,19197,"Wright County, Iowa",804668,1511.096044,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_836,19091,"Humboldt County, Iowa",599555,1479.807301,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_884,19187,"Webster County, Iowa",822952,1498.119604,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_803,19025,"Calhoun County, Iowa",537789,1468.341361,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_871,19161,"Sac County, Iowa",705043,1541.197332,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_801,19021,"Buena Vista County, Iowa",730580,1537.465975,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_866,19151,"Pocahontas County, Iowa",837252,1541.284868,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_811,19041,"Clay County, Iowa",662141,1491.824685,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_864,19147,"Palo Alto County, Iowa",736665,1539.587712,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_822,19063,"Emmet County, Iowa",393474,1469.910686,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_845,19109,"Kossuth County, Iowa",1336255,1514.552359,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_831,19081,"Hancock County, Iowa",768763,1526.070526,2001,
scym_srlandsat_gcviqlty_srmodisblend_pyv1f_usa_maize_2001_885,19189,"Winnebago County, Iowa",419324,1468.214206,2001,
